kode_unit;kode_tu;luas_unit;floor;tower;kode_unit2
TH D/01;TH;228;0;TD;THD01
TH C/02;TH;150;0;TC;THC02
TH C/06;TH;150;0;TC;THC06
TH D/02;TH;150;0;TD;THD02
TH D/04;TH;150;0;TD;THD04
KO/A/11;-;0;0;TA;KOA11
KO/A/09;-;0;0;TA;KOA09
KO/A/01;-;0;0;TA;KOA01
KO/A/02;-;0;0;TA;KOA02
KO/A/03;-;0;0;TA;KOA03
KO/A/05;-;0;0;TA;KOA05
KO/A/06;-;0;0;TA;KOA06
KO/A/07;-;0;0;TA;KOA07
KO/A/08;-;0;0;TA;KOA08
KO/A/10;-;27;0;TA;KOA10
KO/A/12;-;0;0;TA;KOA12
KO/A/15;-;0;0;TA;KOA15
KO/A/16;-;0;0;TA;KOA16
KO/A/17;-;0;0;TA;KOA17
KO/A/18;-;0;0;TA;KOA18
KO/A/19;-;0;0;TA;KOA19
KO/A/20;-;0;0;TA;KOA20
KO/A/21;-;0;0;TA;KOA21
KO/A/22;-;0;0;TA;KOA22
KO/A/23;-;0;0;TA;KOA23
KO/A/26;-;0;0;TA;KOA26
KO/A/27;-;0;0;TA;KOA27
KO/A/28;-;0;0;TA;KOA28
KO/A/29;-;0;0;TA;KOA29
KO/A/30;-;0;0;TA;KOA30
KO/A/31;-;0;0;TA;KOA31
KO/A/32;-;0;0;TA;KOA32
KO/A/33;-;0;0;TA;KOA33
KO/A/34;-;0;0;TA;KOA34
KO/A/36;-;0;0;TA;KOA36
KO/A/37;-;0;0;TA;KOA37
KO/A/38;-;0;0;TA;KOA38
KO/A/39;-;0;0;TA;KOA39
KO/A/40;-;0;0;TA;KOA40
KO/A/41;-;0;0;TA;KOA41
KO/A/42;-;0;0;TA;KOA42
KO/A/43;-;0;0;TA;KOA43
KO/A/44;-;0;0;TA;KOA44
KO/B/01;-;0;0;TB;KOB01
KO/B/02;-;0;0;TB;KOB02
KO/B/03;-;0;0;TB;KOB03
KO/B/05;-;0;0;TB;KOB05
KO/B/06;-;0;0;TB;KOB06
KO/B/07;-;0;0;TB;KOB07
KO/B/08;-;27;;0;KOB08
KO/B/09;-;0;0;TB;KOB09
KO/B/10;-;0;0;TB;KOB10
KO/B/11;-;0;0;TB;KOB11
KO/B/12;-;0;0;TB;KOB12
KO/B/15;-;0;0;TB;KOB15
KO/B/16;-;0;0;TB;KOB16
KO/B/17;-;0;0;TB;KOB17
KO/B/18;-;0;0;TB;KOB18
KO/B/20;-;0;0;TB;KOB20
KO/B/21;-;0;0;TB;KOB21
KO/B/22;-;0;0;TB;KOB22
KO/B/25;-;0;0;TB;KOB25
KO/B/26;-;0;0;TB;KOB26
KO/B/27;-;0;0;TB;KOB27
KO/B/28;-;0;0;TB;KOB28
KO/B/29;-;0;0;TB;KOB29
KO/B/30;-;0;0;TB;KOB30
KO/B/31;-;0;0;TB;KOB31
KO/B/32;-;0;0;TB;KOB32
KO/B/33;-;0;0;TB;KOB33
KO/B/34;-;0;0;TB;KOB34
KO/B/35;-;0;0;TB;KOB35
KO/B/36;-;0;0;TB;KOB36
KO/B/37;-;0;0;TB;KOB37
KO/B/38;-;0;0;TB;KOB38
KO/B/39;-;0;0;TB;KOB39
KO/B/40;-;0;0;TB;KOB40
KO/B/41;-;0;0;TB;KOB41
KO/B/42;-;0;0;TB;KOB42
KO/B/43;-;0;0;TB;KOB43
KO/B/44;-;0;0;TB;KOB44
KO/C/01;-;0;0;TC;KOC01
KO/C/03;-;0;0;TC;KOC03
KO/C/05;-;0;0;TC;KOC05
KO/D/02;-;0;0;TD;KOD02
KO/D/03;-;0;0;TD;KOD03
KO/D/07;-;0;0;TD;KOD07
KO/D/08;-;0;0;TD;KOD08
