contract_id;Business Name;Unit Code;Start;end;qty;tarif;thbl
TJC/2301/0143;A0101;TA/01/01;827;831;4;67400;2023-04
TJC/2301/2165;C1708;TC/17/08;327;334;7;105200;2023-04
TJC/2301/2167;C1709;TC/17/09;87;87;0;17000;2023-04
TJC/2301/2168;C1710;TC/17/10;221;223;2;42200;2023-04
TJC/2301/2169;C1711;TC/17/11;193;193;0;17000;2023-04
TJC/2301/2170;C1712;TC/17/12;534;534;0;17000;2023-04
TJC/2301/2171;C1715;TC/17/15;13;13;0;17000;2023-04
TJC/2301/2163;C1707;TC/17/07;285;287;2;42200;2023-04
TJC/2301/2172;C1716;TC/17/16;6;6;0;17000;2023-04
TJC/2301/2175;C1718;TC/17/18;312;321;9;130400;2023-04
TJC/2301/2177;C1719;TC/17/19;595;595;0;17000;2023-04
TJC/2301/2179;C1720;TC/17/20;950;951;1;29600;2023-04
TJC/2301/2180;C1721;TC/17/21;230;244;14;193400;2023-04
TJC/2301/2182;C1722;TC/17/22;"2.243,00";"2.243,00";0;17000;2023-04
TJC/2301/2183;C1723;TC/17/23;1;1;0;17000;2023-04
TJC/2301/2173;C1717;TC/17/17;"2.534,00";"2.536,00";2;42200;2023-04
TJC/2301/2184;C1724;TC/17/24;3;3;0;17000;2023-04
TJC/2301/2161;C1706;TC/17/06;207;221;14;193400;2023-04
TJC/2301/2159;C1703;TC/17/03;545;549;4;67400;2023-04
TJC/2301/2141;C1623;TC/16/23;330;338;8;117800;2023-04
TJC/2301/2142;C1624;TC/16/24;412;412;0;17000;2023-04
TJC/2301/2143;C1625;TC/16/25;518;524;6;92600;2023-04
TJC/2301/2144;C1626;TC/16/26;45;45;0;17000;2023-04
TJC/2301/2145;C1627;TC/16/27;614;616;2;42200;2023-04
TJC/2301/2146;C1628;TC/16/28;27;27;0;17000;2023-04
TJC/2301/2160;C1705;TC/17/05;174;174;0;17000;2023-04
TJC/2301/2147;C1629;TC/16/29;0;0;0;17000;2023-04
TJC/2301/2149;C1631;TC/16/31;158;158;0;17000;2023-04
TJC/2301/2150;C1632;TC/16/32;"1.444,00";"1.448,00";4;67400;2023-04
TJC/2301/2151;C1633;TC/16/33;596;603;7;105200;2023-04
TJC/2301/2153;C1634;TC/16/34;327;328;1;29600;2023-04
TJC/2301/2155;C1701;TC/17/01;639;643;4;67400;2023-04
TJC/2301/2157;C1702;TC/17/02;121;122;1;29600;2023-04
TJC/2301/2148;C1630;TC/16/30;118;119;1;29600;2023-04
TJC/2301/2185;C1725;TC/17/25;1;1;0;17000;2023-04
TJC/2301/2187;C1726;TC/17/26;382;388;6;92600;2023-04
TJC/2301/2188;C1727;TC/17/27;2;2;0;17000;2023-04
TJC/2301/2215;C1818;TC/18/18;615;624;9;130400;2023-04
TJC/2301/2217;C1819;TC/18/19;180;180;0;17000;2023-04
TJC/2301/2218;C1820;TC/18/20;48;50;2;42200;2023-04
TJC/2301/2220;C1821;TC/18/21;666;672;6;92600;2023-04
TJC/2301/2221;C1822;TC/18/22;111;111;0;17000;2023-04
TJC/2301/2222;C1823;TC/18/23;1;1;0;17000;2023-04
TJC/2301/2214;C1817;TC/18/17;"1.159,00";"1.159,00";0;17000;2023-04
TJC/2301/2223;C1824;TC/18/24;366;370;4;67400;2023-04
TJC/2301/2226;C1826;TC/18/26;155;159;4;67400;2023-04
TJC/2301/2227;C1827;TC/18/27;21;21;0;17000;2023-04
TJC/2301/2228;C1828;TC/18/28;265;266;1;29600;2023-04
TJC/2301/2230;C1829;TC/18/29;285;285;0;17000;2023-04
TJC/2301/2232;C1830;TC/18/30;241;241;0;17000;2023-04
TJC/2301/2233;C1831;TC/18/31;33;33;0;17000;2023-04
TJC/2301/2224;C1825;TC/18/25;116;116;0;17000;2023-04
TJC/2301/2213;C1816;TC/18/16;12;12;0;17000;2023-04
TJC/2301/2212;C1815;TC/18/15;0;0;0;17000;2023-04
TJC/2301/2211;C1812;TC/18/12;1;1;0;17000;2023-04
TJC/2301/2190;C1728;TC/17/28;528;533;5;80000;2023-04
TJC/2301/2191;C1729;TC/17/29;29;31;2;42200;2023-04
TJC/2301/2193;C1730;TC/17/30;228;228;0;17000;2023-04
TJC/2301/2194;C1731;TC/17/31;702;707;5;80000;2023-04
TJC/2301/2195;C1732;TC/17/32;506;511;5;80000;2023-04
TJC/2301/2197;C1733;TC/17/33;416;423;7;105200;2023-04
TJC/2301/2199;C1734;TC/17/34;357;364;7;105200;2023-04
TJC/2301/2201;C1801;TC/18/01;505;507;2;42200;2023-04
TJC/2301/2203;C1803;TC/18/03;412;416;4;67400;2023-04
TJC/2301/2204;C1805;TC/18/05;375;375;0;17000;2023-04
TJC/2301/2205;C1807;TC/18/07;380;387;7;105200;2023-04
TJC/2301/2206;C1808;TC/18/08;0;1;1;29600;2023-04
TJC/2301/2207;C1809;TC/18/09;212;212;0;17000;2023-04
TJC/2301/2209;C1810;TC/18/10;114;126;12;168200;2023-04
TJC/2301/2210;C1811;TC/18/11;4;4;0;17000;2023-04
TJC/2301/2140;C1622;TC/16/22;269;269;0;17000;2023-04
TJC/2301/2138;C1621;TC/16/21;508;515;7;105200;2023-04
TJC/2301/2137;C1620;TC/16/20;166;166;0;17000;2023-04
TJC/2301/2136;C1619;TC/16/19;414;415;1;29600;2023-04
TJC/2301/2073;C1228;TC/12/28;"2.798,00";"2.803,00";5;80000;2023-04
TJC/2301/2074;C1229;TC/12/29;552;563;11;155600;2023-04
TJC/2301/2076;C1230;TC/12/30;681;689;8;117800;2023-04
TJC/2301/2077;C1231;TC/12/31;65;68;3;54800;2023-04
TJC/2301/2078;C1232;TC/12/32;3;3;0;17000;2023-04
TJC/2301/2079;C1233;TC/12/33;206;211;5;80000;2023-04
TJC/2301/2072;C1227;TC/12/27;320;320;0;17000;2023-04
TJC/2301/2081;C1234;TC/12/34;3;3;0;17000;2023-04
TJC/2301/2083;C1503;TC/15/03;406;411;5;80000;2023-04
TJC/2301/2084;C1505;TC/15/05;29;29;0;17000;2023-04
TJC/2301/2085;C1507;TC/15/07;121;121;0;17000;2023-04
TJC/2301/2087;C1508;TC/15/08;308;313;5;80000;2023-04
TJC/2301/2088;C1509;TC/15/09;18;18;0;17000;2023-04
TJC/2301/2089;C1510;TC/15/10;210;210;0;17000;2023-04
TJC/2301/2082;C1501;TC/15/01;259;259;0;17000;2023-04
TJC/2301/2071;C1226;TC/12/26;177;177;0;17000;2023-04
TJC/2301/2070;C1225;TC/12/25;648;654;6;92600;2023-04
TJC/2301/2069;C1224;TC/12/24;515;516;1;29600;2023-04
TJC/2301/2045;C1206;TC/12/06;456;456;0;17000;2023-04
TJC/2301/2046;C1207;TC/12/07;465;466;1;29600;2023-04
TJC/2301/2048;C1208;TC/12/08;382;388;6;92600;2023-04
TJC/2301/2050;C1209;TC/12/09;350;354;4;67400;2023-04
TJC/2301/2052;C1210;TC/12/10;14;16;2;42200;2023-04
TJC/2301/2055;C1212;TC/12/12;812;812;0;17000;2023-04
TJC/2301/2056;C1215;TC/12/15;597;602;5;80000;2023-04
TJC/2301/2057;C1216;TC/12/16;"2.637,00";"2.638,00";1;29600;2023-04
TJC/2301/2058;C1217;TC/12/17;121;121;0;17000;2023-04
TJC/2301/2059;C1218;TC/12/18;147;150;3;54800;2023-04
TJC/2301/2060;C1219;TC/12/19;545;545;0;17000;2023-04
TJC/2301/2062;C1220;TC/12/20;539;542;3;54800;2023-04
TJC/2301/2064;C1221;TC/12/21;829;835;6;92600;2023-04
TJC/2301/2065;C1222;TC/12/22;3;3;0;17000;2023-04
TJC/2301/2068;C1223;TC/12/23;88;88;0;17000;2023-04
TJC/2301/2090;C1511;TC/15/11;974;974;0;17000;2023-04
TJC/2301/2234;C1832;TC/18/32;104;105;1;29600;2023-04
TJC/2301/2091;C1512;TC/15/12;541;543;2;42200;2023-04
TJC/2301/2093;C1516;TC/15/16;738;742;4;67400;2023-04
TJC/2301/2118;C1602;TC/16/02;417;417;0;17000;2023-04
TJC/2301/2119;C1603;TC/16/03;3;3;0;17000;2023-04
TJC/2301/2120;C1605;TC/16/05;26;26;0;17000;2023-04
TJC/2301/2121;C1606;TC/16/06;151;156;5;80000;2023-04
TJC/2301/2123;C1607;TC/16/07;392;396;4;67400;2023-04
TJC/2301/2125;C1608;TC/16/08;869;870;1;29600;2023-04
TJC/2301/2116;C1601;TC/16/01;189;190;1;29600;2023-04
TJC/2301/2126;C1609;TC/16/09;179;179;0;17000;2023-04
TJC/2301/2128;C1611;TC/16/11;"1.378,00";"1.378,00";0;17000;2023-04
TJC/2301/2130;C1612;TC/16/12;405;407;2;42200;2023-04
TJC/2301/2131;C1615;TC/16/15;7;7;0;17000;2023-04
TJC/2301/2132;C1616;TC/16/16;385;385;0;17000;2023-04
TJC/2301/2134;C1617;TC/16/17;594;604;10;143000;2023-04
TJC/2301/2135;C1618;TC/16/18;270;274;4;67400;2023-04
TJC/2301/2127;C1610;TC/16/10;734;734;0;17000;2023-04
TJC/2301/2115;C1534;TC/15/34;243;243;0;17000;2023-04
TJC/2301/2114;C1533;TC/15/33;610;620;10;143000;2023-04
TJC/2301/2112;C1532;TC/15/32;29;29;0;17000;2023-04
TJC/2301/2095;C1517;TC/15/17;319;329;10;143000;2023-04
TJC/2301/2096;C1518;TC/15/18;671;674;3;54800;2023-04
TJC/2301/2097;C1519;TC/15/19;826;835;9;130400;2023-04
TJC/2301/2099;C1520;TC/15/20;289;290;1;29600;2023-04
TJC/2301/2100;C1521;TC/15/21;"1.090,00";"1.097,00";7;105200;2023-04
TJC/2301/2101;C1522;TC/15/22;652;657;5;80000;2023-04
TJC/2301/2102;C1523;TC/15/23;5;5;0;17000;2023-04
TJC/2301/2103;C1524;TC/15/24;60;66;6;92600;2023-04
TJC/2301/2104;C1525;TC/15/25;4;4;0;17000;2023-04
TJC/2301/2105;C1526;TC/15/26;35;36;1;29600;2023-04
TJC/2301/2106;C1527;TC/15/27;70;70;0;17000;2023-04
TJC/2301/2108;C1528;TC/15/28;562;563;1;29600;2023-04
TJC/2301/2109;C1529;TC/15/29;1;1;0;17000;2023-04
TJC/2301/2110;C1530;TC/15/30;"1.249,00";"1.261,00";12;168200;2023-04
TJC/2301/2111;C1531;TC/15/31;275;279;4;67400;2023-04
TJC/2301/2092;C1515;TC/15/15;271;273;2;42200;2023-04
TJC/2301/2044;C1205;TC/12/05;311;314;3;54800;2023-04
TJC/2301/2235;C1833;TC/18/33;676;679;3;54800;2023-04
TJC/2301/2237;C1901;TC/19/01;521;525;4;67400;2023-04
TJC/2301/2360;C2212;TC/22/12;"1.013,00";"1.021,00";8;117800;2023-04
TJC/2301/2361;C2215;TC/22/15;"1.084,00";"1.087,00";3;54800;2023-04
TJC/2301/2362;C2216;TC/22/16;467;467;0;17000;2023-04
TJC/2301/2363;C2217;TC/22/17;562;564;2;42200;2023-04
TJC/2301/2364;C2218;TC/22/18;661;669;8;117800;2023-04
TJC/2301/2365;C2219;TC/22/19;"1.172,00";"1.172,00";0;17000;2023-04
TJC/2301/2358;C2211;TC/22/11;58;58;0;17000;2023-04
TJC/2301/2366;C2220;TC/22/20;229;229;0;17000;2023-04
TJC/2301/2368;C2222;TC/22/22;"1.453,00";"1.455,00";2;42200;2023-04
TJC/2301/2369;C2223;TC/22/23;"1.524,00";"1.531,00";7;105200;2023-04
TJC/2301/2371;C2224;TC/22/24;659;659;0;17000;2023-04
TJC/2301/2372;C2225;TC/22/25;7;7;0;17000;2023-04
TJC/2301/2373;C2226;TC/22/26;"1.149,00";"1.153,00";4;67400;2023-04
TJC/2301/2375;C2227;TC/22/27;356;360;4;67400;2023-04
TJC/2301/2367;C2221;TC/22/21;312;319;7;105200;2023-04
TJC/2301/2377;C2229;TC/22/29;922;922;0;17000;2023-04
TJC/2301/2357;C2210;TC/22/10;758;760;2;42200;2023-04
TJC/2301/2354;C2208;TC/22/08;49;49;0;17000;2023-04
TJC/2301/2337;C2122;TC/21/22;6;6;0;17000;2023-04
TJC/2301/2338;C2123;TC/21/23;591;591;0;17000;2023-04
TJC/2301/2339;C2125;TC/21/25;81;84;3;54800;2023-04
TJC/2301/2340;C2126;TC/21/26;"6.022,00";"6.022,00";0;17000;2023-04
TJC/2301/2341;C2127;TC/21/27;15;15;0;17000;2023-04
TJC/2301/2343;C2128;TC/21/28;"1.180,00";"1.184,00";4;67400;2023-04
TJC/2301/2356;C2209;TC/22/09;382;385;3;54800;2023-04
TJC/2301/2344;C2129;TC/21/29;"1.318,00";"1.329,00";11;155600;2023-04
TJC/2301/2347;C2131;TC/21/31;19;19;0;17000;2023-04
TJC/2301/2349;C2201;TC/22/01;627;631;4;67400;2023-04
TJC/2301/2350;C2203;TC/22/03;914;914;0;17000;2023-04
TJC/2301/2351;C2205;TC/22/05;"1.050,00";"1.051,00";1;29600;2023-04
TJC/2301/2352;C2206;TC/22/06;339;342;3;54800;2023-04
TJC/2301/2353;C2207;TC/22/07;0;0;0;17000;2023-04
TJC/2301/2346;C2130;TC/21/30;458;463;5;80000;2023-04
TJC/2301/2378;C2230;TC/22/30;703;703;0;17000;2023-04
TJC/2301/2382;C2301;TC/23/01;36;36;0;17000;2023-04
TJC/2301/2384;C2302;TC/23/02;763;764;1;29600;2023-04
TJC/2301/2410;C2326;TC/23/26;"1.690,00";"1.696,00";6;92600;2023-04
TJC/2301/2411;C2327;TC/23/27;335;337;2;42200;2023-04
TJC/2301/2412;C2328;TC/23/28;2;2;0;17000;2023-04
TJC/2301/2414;C2329;TC/23/29;314;317;3;54800;2023-04
TJC/2301/2415;C2330;TC/23/30;106;106;0;17000;2023-04
TJC/2301/2416;C2331;TC/23/31;6;6;0;17000;2023-04
TJC/2301/2408;C2325;TC/23/25;399;399;0;17000;2023-04
