title,authors,venue,year,citations,link,Author,publication_type
Manajemen sumber daya manusia,MTE Hariandja,"Grasindo, 2002",2002.0,4978,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=arMot54AAAAJ&pagesize=100&citation_for_view=arMot54AAAAJ:IjCSPb-OGe4C,Marihot Tua Efendi Hariandja,Buku/Bab Buku
Manajemen Sumber Daya Manusia: Pengadaan,MTE Hariandja,"Pengembangan, Pengkompensasian, dan Peningkatan Produktivitas Pegawai …, 2002",2002.0,76,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=arMot54AAAAJ&pagesize=100&citation_for_view=arMot54AAAAJ:u-x6o8ySG0sC,Marihot Tua Efendi Hariandja,Lainnya
TE 2009,M Hariandja,"Manajemen Sumber Daya Manusia Pengadaan, Pengembangan, Pengkompensasian, dan …, 2009",2009.0,57,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=arMot54AAAAJ&pagesize=100&citation_for_view=arMot54AAAAJ:2osOgNQ5qMEC,Marihot Tua Efendi Hariandja,Lainnya
"Manajemen Sumber Daya Manusia, Jakarta: PT","MTE Hariandja, M Tua","Gramedia Widiasarana Indonesia, 2002",2002.0,56,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=arMot54AAAAJ&pagesize=100&citation_for_view=arMot54AAAAJ:ufrVoPGSRksC,Marihot Tua Efendi Hariandja,Buku/Bab Buku
"Manajemen Sumber Daya Manusia, PT","MTE Hariandja, M Tua","Gramedia Widiasarana Indonesia, Jakarta, 2012",2012.0,52,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=arMot54AAAAJ&pagesize=100&citation_for_view=arMot54AAAAJ:8k81kl-MbHgC,Marihot Tua Efendi Hariandja,Buku/Bab Buku
"Pengadaan, Pengembangan, Pengkompensasian, dan Peningkatan Produktivitas Pegawai",MT Hariandja,"Jakarta: PT Grasindo, 2007",2007.0,47,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=arMot54AAAAJ&pagesize=100&citation_for_view=arMot54AAAAJ:qjMakFHDy7sC,Marihot Tua Efendi Hariandja,Buku/Bab Buku
Sumber Daya Manusia,MTE Hariandja,"Manajemen Jakarta: Grasindo, 2002",2002.0,47,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=arMot54AAAAJ&pagesize=100&citation_for_view=arMot54AAAAJ:WF5omc3nYNoC,Marihot Tua Efendi Hariandja,Buku/Bab Buku
Perilaku organisasi memahami dan mengelola perilaku dalam organisasi,MTE Hariandja,"Unpar Press, 2006",2006.0,44,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=arMot54AAAAJ&pagesize=100&citation_for_view=arMot54AAAAJ:d1gkVwhDpl0C,Marihot Tua Efendi Hariandja,Buku/Bab Buku
Efendi. 2002,MT Hariandja,"Manajemen Sumber Daya Manusia, 0",,35,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=arMot54AAAAJ&pagesize=100&citation_for_view=arMot54AAAAJ:Tyk-4Ss8FVUC,Marihot Tua Efendi Hariandja,Lainnya
"T, E.(2002)",M Hariandja,"Manajemen sumberdaya manusia, 0",,26,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=arMot54AAAAJ&pagesize=100&citation_for_view=arMot54AAAAJ:_FxGoFyzp5QC,Marihot Tua Efendi Hariandja,Lainnya
